SampleNumber,Site,CollectDate,SiO2,TP,Si_corrected
FMP01050,Roys Creek @ Springhead,1988-06-15,14.40,9.75,0
FMP01055,"Flathead Lake, Midlake Deep",1988-06-30,4.28,3.12,0
FMP01072,Roys Creek @ Springhead,1988-07-07,14.39,20.88,0
FMP01081,"Flathead Lake, Midlake Deep",1988-07-25,4.44,3.93,0
FMP01097,Roys Creek @ Springhead,1988-07-29,14.75,14.39,0
FMP01100,"Flathead Lake, Midlake Deep",1988-08-16,4.50,4.96,0
FMP01116,Roys Creek @ Springhead,1988-08-19,14.42,16.04,0
FMP01129,Roys Creek @ Springhead,1988-09-13,14.31,19.05,0
FMP01136,"Flathead Lake, Midlake Deep",1988-09-15,4.39,4.25,0
FMP01149,"Flathead Lake, Midlake Deep",1988-11-16,4.57,4.76,0
FMP01164,Roys Creek @ Springhead,1988-11-17,15.65,19.49,0
FMP01177,"Flathead Lake, Midlake Deep",1989-02-21,4.74,4.76,0
FMP01191,"Flathead Lake, Midlake Deep",1989-03-13,5.06,6.98,0
FMP01214,"Flathead Lake, Midlake Deep",1989-04-18,4.82,3.97,0
FMP01232,"Flathead Lake, Midlake Deep",1989-05-01,4.86,4.88,0
FMP01256,"Flathead Lake, Midlake Deep",1989-05-26,4.72,4.63,0
FMP01271,"Flathead Lake, Midlake Deep",1989-06-14,4.57,7.20,0
FMP01286,"Flathead Lake, Midlake Deep",1989-07-11,4.43,6.34,0
FMP01295,"Flathead Lake, Midlake Deep",1989-08-14,4.13,5.07,0
FMP01318,"Flathead Lake, Midlake Deep",1989-09-25,4.19,7.21,0
FMP01331,"Flathead Lake, Midlake Deep",1989-10-31,5.43,4.39,0
FMP01339,"Flathead Lake, Midlake Deep",1989-11-27,4.78,5.33,0
FMP01365,"Flathead Lake, Midlake Deep",1990-01-12,5.03,6.37,0
FMP01372,"Flathead Lake, Midlake Deep",1990-02-21,5.04,10.15,0
FMP01386,"Flathead Lake, Midlake Deep",1990-03-19,4.93,5.46,0
FMP01407,"Flathead Lake, Midlake Deep",1990-04-06,4.98,5.24,0
FMP01421,"Flathead Lake, Midlake Deep",1990-04-19,5.00,5.18,0
FMP01428,"Flathead Lake, Midlake Deep",1990-05-01,4.83,5.11,0
FMP01446,"Flathead Lake, Midlake Deep",1990-05-14,5.05,8.72,0
FMP01463,"Flathead Lake, Midlake Deep",1990-05-30,4.78,3.02,0
FMP01481,"Flathead Lake, Midlake Deep",1990-06-15,5.46,6.35,0
FMP01500,"Flathead Lake, Midlake Deep",1990-07-17,4.75,7.58,0
FMP01525,"Flathead Lake, Midlake Deep",1990-08-15,4.50,7.46,0
FMP01540,"Flathead Lake, Midlake Deep",1990-09-19,4.57,5.80,0
FMP01558,"Flathead Lake, Midlake Deep",1990-10-23,4.77,12.13,0
FMP01575,"Flathead Lake, Midlake Deep",1990-11-28,5.15,4.62,0
FMP01601,"Flathead Lake, Midlake Deep",1991-01-15,5.26,5.44,0
FMP01613,"Flathead Lake, Midlake Deep",1991-03-14,5.46,1.77,0
FMP01636,"Flathead Lake, Midlake Deep",1991-04-29,4.96,6.18,0
FMP01654,"Flathead Lake, Midlake Deep",1991-05-15,4.92,5.48,0
FMP01674,"Flathead Lake, Midlake Deep",1991-06-10,4.74,6.22,0
FMP01697,"Flathead Lake, Midlake Deep",1991-07-01,4.84,6.72,0
FMP01713,"Flathead Lake, Midlake Deep",1991-07-29,4.55,3.36,0
FMP01730,"Flathead Lake, Midlake Deep",1991-08-26,4.44,4.37,0
FMP01741,"Flathead Lake, Midlake Deep",1991-08-29,4.44,4.75,0
FMP01753,"Flathead Lake, Midlake Deep",1991-09-23,4.58,4.30,0
FMP01776,"Flathead Lake, Midlake Deep",1991-11-04,4.90,4.49,0
FMP01795,"Flathead Lake, Midlake Deep",1991-12-13,5.13,5.24,0
FMP01821,"Flathead Lake, Midlake Deep",1992-01-27,5.27,5.59,0
FMP01828,"Flathead Lake, Midlake Deep",1992-02-13,4.98,5.60,0
FMP01856,"Flathead Lake, Midlake Deep",1992-03-20,5.05,4.15,0
FMP01872,"Flathead Lake, Midlake Deep",1992-04-16,5.09,5.59,0
FMP01891,"Flathead Lake, Midlake Deep",1992-05-14,4.60,8.33,0
FMP01909,"Flathead Lake, Midlake Deep",1992-06-04,5.14,4.52,0
FMP01923,"Flathead Lake, Midlake Deep",1992-07-16,4.23,5.70,0
FMP01940,"Flathead Lake, Midlake Deep",1992-08-20,4.69,3.60,0
FMP01954,"Flathead Lake, Midlake Deep",1992-09-09,5.16,4.74,0
FMP01972,"Flathead Lake, Midlake Deep",1992-10-19,4.50,4.85,0
FMP02046,"Flathead Lake, Midlake Deep",1992-11-12,4.63,5.16,0
FMP02079,"Flathead Lake, Midlake Deep",1993-01-29,NA,4.21,0
FMP02089A,"Flathead Lake, Midlake Deep",1993-03-23,5.08,8.36,0
FMP02089B,"Flathead Lake, Midlake Deep",1993-03-23,99.53,5.69,0
FMP02105,"Flathead Lake, Midlake Deep",1993-04-13,4.89,4.75,0
FMP02129,"Flathead Lake, Midlake Deep",1993-05-10,5.34,6.39,0
FMP02151,"Flathead Lake, Midlake Deep",1993-06-03,4.92,11.64,0
FMP02183,"Flathead Lake, Midlake Deep",1993-06-24,4.87,4.28,0
FMP02186,"Flathead Lake, Midlake Deep",1993-07-21,4.39,4.52,0
FMP02202,"Flathead Lake, Midlake Deep",1993-08-05,4.44,3.18,0
