SampleNumber,Site,CollectDate,SiO2,TP,Si_corrected
20041002-01,"Flathead Lake, Midlake Deep",2020-04-13,4.93,2.80,1
20041401-04,Roys Creek @ Springhead,2020-04-14,16.10,8.60,1
20042401-05,Roys Creek @ Springhead,2020-04-24,16.00,8.30,1
20050101-04,Roys Creek @ Springhead,2020-05-01,15.65,10.40,1
20050202-01,"Flathead Lake, Midlake Deep",2020-05-14,4.48,2.20,1
20052001-05,Roys Creek @ Springhead,2020-05-21,16.40,8.30,1
20053101-04,Roys Creek @ Springhead,2020-05-31,16.25,9.10,1
20053101-05,Roys Creek @ Springhead,2020-05-31,16.15,9.20,1
20052703-01,"Flathead Lake, Midlake Deep",2020-06-01,4.90,6.90,1
20060803-04,Roys Creek @ Springhead,2020-06-09,16.10,9.40,1
20061702-01,"Flathead Lake, Midlake Deep",2020-06-22,4.37,8.20,1
20062901-05,Roys Creek @ Springhead,2020-06-29,16.65,8.40,1
20071003-01,"Flathead Lake, Midlake Deep",2020-07-13,4.41,5.00,1
20072001-04,Roys Creek @ Springhead,2020-07-20,16.50,9.30,1
20080202-01,"Flathead Lake, Midlake Deep",2020-08-04,4.08,1.90,1
20081401-04,Roys Creek @ Springhead,2020-08-14,16.25,10.30,1
20082101-01,"Flathead Lake, Midlake Deep",2020-08-24,4.12,1.70,1
20090803-05,Roys Creek @ Springhead,2020-09-10,16.50,7.80,1
20091101-01,"Flathead Lake, Midlake Deep",2020-09-14,4.24,< 1.5,1
20100502-01,"Flathead Lake, Midlake Deep",2020-10-06,4.35,1.50,1
20101302-04,Roys Creek @ Springhead,2020-10-14,17.05,8.80,1
20101502-01,"Flathead Lake, Midlake Deep",2020-11-02,4.96,2.00,1
FLS03844,Swan River @ Bigfork Steel Bridge (Electric Ave...,1977-11-17,5.60,NA,0
FLS03845,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1977-11-17,4.10,NA,0
FLS04128,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1977-12-20,NA,6.10,0
FLS04130,Swan River @ Bigfork Steel Bridge (Electric Ave...,1977-12-20,NA,5.30,0
FLS04290,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-01-25,NA,3.40,0
FLS04737,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-03-01,5.60,3.00,0
FLS04739,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-03-01,8.70,2.00,0
FLS04742,"Flathead River, Lower, @ Polson",1978-03-01,4.10,3.00,0
FLS04738,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-03-15,6.10,3.00,0
FLS04740,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-03-15,8.90,5.00,0
FLS04741,"Flathead River, Lower, @ Polson",1978-03-15,4.00,3.00,0
FLS04971,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-04-18,5.60,15.00,0
FLS04974,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-04-18,7.90,5.00,0
FLS04989,"Flathead River, Lower, @ Polson",1978-04-18,4.10,7.00,0
FLS04992,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-05-24,5.30,9.00,0
FLS04994,"Flathead River, Lower, @ Polson",1978-05-24,4.00,12.00,0
FLS04997,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-05-24,6.50,10.00,0
FLS05198,"Flathead River, Lower, @ Polson",1978-06-15,5.20,11.00,0
FLS05199,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-06-15,5.90,11.00,0
FLS05200,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-06-15,6.80,10.00,0
FLS05177,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-06-30,5.00,9.00,0
FLS05178,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-06-30,5.20,15.00,0
FLS05179,"Flathead River, Lower, @ Polson",1978-06-30,5.50,12.00,0
FLS05282,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-07-15,5.60,14.00,0
FLS05283,"Flathead River, Lower, @ Polson",1978-07-15,4.20,7.00,0
FLS05284,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-07-15,7.00,15.00,0
FLS05312,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-07-30,6.10,8.00,0
FLS05313,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-07-30,5.70,8.00,0
FLS05314,"Flathead River, Lower, @ Polson",1978-07-30,6.10,16.00,0
FLS05336,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-08-15,5.50,9.00,0
FLS05337,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-08-15,4.40,8.00,0
FLS05338,"Flathead River, Lower, @ Polson",1978-08-15,4.00,9.00,0
FLS05371,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-08-30,5.30,12.00,0
FLS05372,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-08-30,7.10,8.00,0
FLS05373,"Flathead River, Lower, @ Polson",1978-08-30,6.90,6.00,0
FLS05387,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-09-30,3.90,8.00,0
FLS05388,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-09-30,5.40,9.00,0
FLS05389,"Flathead River, Lower, @ Polson",1978-09-30,3.80,8.00,0
FLS05421,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-10-30,4.40,8.00,0
FLS05422,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-10-30,6.00,10.00,0
FLS05423,"Flathead River, Lower, @ Polson",1978-10-30,4.00,11.00,0
FLS05455,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-11-30,1.90,8.00,0
FLS05456,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-11-30,6.70,7.00,0
FLS05457,"Flathead River, Lower, @ Polson",1978-11-30,4.80,8.00,0
FLS05489,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1978-12-18,4.10,12.00,0
FLS05490,Swan River @ Bigfork Steel Bridge (Electric Ave...,1978-12-18,6.40,11.00,0
FLS05491,"Flathead River, Lower, @ Polson",1978-12-18,4.10,8.00,0
FLS05536,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-02-28,4.80,8.00,0
FLS05537,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-02-28,5.10,10.00,0
FLS05538,"Flathead River, Lower, @ Polson",1979-02-28,5.70,12.00,0
FLS05539,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-03-31,5.20,10.00,0
FLS05540,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-03-31,6.60,10.00,0
FLS05541,"Flathead River, Lower, @ Polson",1979-03-31,4.40,8.00,0
FLS05573,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-05-08,NA,72.00,0
FLS05574,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-05-08,NA,7.40,0
FLS05575,"Flathead River, Lower, @ Polson",1979-05-09,NA,2.90,0
FLS05607,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-06-10,NA,14.20,0
FLS05609,"Flathead River, Lower, @ Polson",1979-06-10,NA,3.50,0
FLS05656,"Flathead River, Lower, @ Polson",1979-06-27,NA,5.40,0
FLS05654,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-06-28,NA,13.50,0
FLS05655,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-06-28,NA,10.50,0
FLS05688,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-07-12,NA,6.50,0
FLS05689,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-07-12,NA,4.30,0
FLS05690,"Flathead River, Lower, @ Polson",1979-07-12,NA,5.60,0
FLS05722,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-08-30,NA,3.70,0
FLS05723,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-08-30,NA,5.90,0
FLS05724,"Flathead River, Lower, @ Polson",1979-08-30,NA,5.20,0
FLS05760,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-09-28,NA,11.20,0
FLS05761,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-09-28,NA,12.10,0
FLS05762,"Flathead River, Lower, @ Polson",1979-09-28,NA,53.00,0
FLS05763,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-10-29,NA,4.60,0
FLS05764,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-10-29,NA,6.90,0
FLS05765,"Flathead River, Lower, @ Polson",1979-10-29,NA,3.60,0
FLS05766,Swan River @ Bigfork Steel Bridge (Electric Ave...,1979-11-29,NA,5.90,0
FLS05767,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1979-11-29,NA,9.00,0
FLS05768,"Flathead River, Lower, @ Polson",1979-11-29,NA,4.80,0
FLS05769,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-01-05,NA,3.20,0
FLS05770,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-01-05,NA,11.10,0
FLS05771,"Flathead River, Lower, @ Polson",1980-01-05,NA,4.80,0
FLS05774,"Flathead River, Lower, @ Polson",1980-01-25,NA,4.60,0
FLS05773,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-01-29,NA,10.90,0
FLS05775,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-03-07,NA,3.90,0
FLS05776,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-03-07,NA,17.20,0
FLS05777,"Flathead River, Lower, @ Polson",1980-03-07,NA,4.10,0
FRS03056,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-04-17,NA,6.00,0
FLS05781,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-04-29,NA,35.00,0
FLS05782,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-04-29,NA,25.00,0
FLS05783,"Flathead River, Lower, @ Polson",1980-04-29,NA,3.40,0
FLS05793,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-05-05,NA,36.50,0
FLS05799,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-05-12,NA,14.30,0
FLS05800,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-05-12,NA,4.90,0
FRS03071,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-05-15,NA,9.20,0
FLS05827,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-05-27,NA,276.00,0
FLS05828,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-05-27,NA,22.00,0
FLS05829,"Flathead River, Lower, @ Polson",1980-05-27,NA,14.00,0
FRS03077,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-06-05,NA,8.20,0
FLS05841,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-06-25,NA,5.00,0
FLS05842,"Flathead River, Lower, @ Polson",1980-06-25,NA,6.00,0
FRS03086,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-06-25,NA,5.80,0
FLS05840,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1980-06-26,NA,7.00,0
FRS03092,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-07-30,NA,4.40,0
FRS03104,Swan River @ Bigfork Steel Bridge (Electric Ave...,1980-10-15,NA,4.70,0
FRS03133,"Flathead River, Lower, @ Polson",1981-04-09,NA,7.70,0
FRS03134,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-04-09,NA,19.50,0
FRS03135,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-04-09,NA,7.30,0
FLS05972,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-05-08,NA,7.90,0
FLS05973,"Flathead River, Lower, @ Polson",1981-05-08,NA,5.30,0
FLS05974,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-05-08,NA,16.90,0
FLS05981,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-05-25,NA,9.10,0
FLS05996,"Flathead River, Lower, @ Polson",1981-05-29,NA,7.00,0
FLS06002,"Flathead River, Lower, @ Polson",1981-06-16,NA,6.40,0
FLS06003,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-06-16,NA,6.60,0
FLS06005,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-06-16,NA,22.90,0
FLS06006,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-07-28,NA,7.00,0
FLS06007,"Flathead River, Lower, @ Polson",1981-07-28,NA,3.70,0
FLS06011,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-07-28,NA,6.35,0
FLS06014,"Flathead River, Lower, @ Polson",1981-10-06,NA,4.90,0
FLS06016,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-10-06,NA,5.20,0
FLS06017,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-10-06,NA,4.20,0
FLS06018,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-11-11,NA,4.30,0
FLS06021,"Flathead River, Lower, @ Polson",1981-11-11,NA,4.10,0
FLS06024,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-11-11,NA,7.55,0
FLS06025,"Flathead River, Lower, @ Polson",1981-12-09,NA,4.10,0
FLS06026,Swan River @ Bigfork Steel Bridge (Electric Ave...,1981-12-09,NA,4.30,0
FLS06027,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1981-12-09,NA,7.85,0
FLS06028,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-01-26,NA,4.20,0
FLS06029,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-01-26,NA,9.30,0
FLS06034,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-02-08,NA,5.00,0
FLS06035,"Flathead River, Lower, @ Polson",1982-02-08,NA,3.80,0
FLS06036,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-02-08,NA,3.45,0
FLS06037,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-03-18,NA,6.40,0
FLS06038,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-03-18,NA,9.10,0
FLS06039,"Flathead River, Lower, @ Polson",1982-03-18,NA,23.60,0
FLS06042,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-04-20,NA,14.70,0
FLS06045,"Flathead River, Lower, @ Polson",1982-04-20,NA,5.00,0
FLS06046,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-04-20,NA,6.20,0
FLS06047,"Flathead River, Lower, @ Polson",1982-05-04,NA,3.50,0
FLS06048,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-05-04,NA,48.20,0
FLS06050,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-05-04,NA,5.50,0
FLS06052,"Flathead River, Lower, @ Polson",1982-05-25,NA,7.90,0
FLS06056,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-05-25,NA,121.00,0
FLS06057,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-05-25,NA,7.70,0
FLS06058,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-06-10,NA,18.20,0
FLS06062,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-06-10,NA,6.45,0
FLS06064,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-07-13,NA,7.40,0
FLS06065,"Flathead River, Lower, @ Polson",1982-07-13,NA,5.00,0
FLS06066,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-07-13,NA,6.70,0
FLS06070,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-08-09,NA,8.00,0
FLS06071,"Flathead River, Lower, @ Polson",1982-08-09,NA,9.00,0
FLS06072,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-08-09,NA,5.80,0
FLS06075,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-09-07,NA,7.65,0
FLS06076,"Flathead River, Lower, @ Polson",1982-09-07,NA,3.70,0
FLS06077,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-09-07,NA,8.70,0
FLS06080,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-11-01,4.70,7.30,0
FLS06081,"Flathead River, Lower, @ Polson",1982-11-01,4.72,5.45,0
FLS06082,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-11-01,6.30,4.30,0
FLS06086,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1982-12-06,4.50,6.66,0
FLS06087,"Flathead River, Lower, @ Polson",1982-12-06,4.20,4.16,0
FLS06088,Swan River @ Bigfork Steel Bridge (Electric Ave...,1982-12-06,6.50,7.63,0
FLS06094A,"Flathead River, Lower, @ Polson",1983-01-26,5.79,6.01,0
FLS06094B,"Flathead River, Lower, @ Polson",1983-01-26,5.91,5.56,0
FLS06095,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-01-27,5.91,7.12,0
FLS06096,Swan River @ Bigfork Steel Bridge (Electric Ave...,1983-01-27,7.80,9.41,0
FLS06101,Swan River @ Bigfork Steel Bridge (Electric Ave...,1983-03-02,6.98,10.60,0
FLS06102,"Flathead River, Lower, @ Polson",1983-03-02,4.58,12.75,0
FLS06103,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-03-02,4.77,17.48,0
FLS06107,Swan River @ Bigfork Steel Bridge (Electric Ave...,1983-04-13,6.46,8.32,0
FLS06108,"Flathead River, Lower, @ Polson",1983-04-13,4.05,6.50,0
FLS06109,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-04-13,4.33,15.97,0
FLS06113,Swan River @ Bigfork Steel Bridge (Electric Ave...,1983-05-04,6.78,9.56,0
FLS06114,"Flathead River, Lower, @ Polson",1983-05-04,4.30,7.17,0
FLS06115A,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-05-04,4.97,12.17,0
FLS06115B,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-05-04,5.05,11.30,0
FLS06118,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-05-31,4.21,102.18,0
FLS06119,Swan River @ Bigfork Steel Bridge (Electric Ave...,1983-05-31,5.98,11.63,0
FLS06138,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-05-31,NA,72.92,0
FLS06130,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1983-06-06,NA,16.49,0
FMP00004,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-01-31,5.46,15.71,0
FMP00005,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-01-31,7.58,4.90,0
FMP00006,"Flathead River, Lower, @ Polson",1984-01-31,5.31,4.07,0
FMP00014,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-03-05,4.18,6.85,0
FMP00015,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-03-05,7.02,4.82,0
FMP00016,"Flathead River, Lower, @ Polson",1984-03-06,4.74,3.37,0
FMP00024,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-04-02,5.09,7.21,0
FMP00025,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-04-02,6.88,2.80,0
FMP00026,"Flathead River, Lower, @ Polson",1984-04-02,4.77,3.03,0
FMP00042,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-04-29,5.67,9.82,0
FMP00043,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-04-29,5.55,6.23,0
FMP00044,"Flathead River, Lower, @ Polson",1984-04-29,4.41,5.53,0
FMP00052,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-05-14,4.83,8.20,0
FMP00053,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-05-14,6.48,4.82,0
FMP00054,"Flathead River, Lower, @ Polson",1984-05-14,4.67,3.22,0
FMP00062,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-05-20,5.18,16.69,0
FMP00063,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-05-20,6.79,5.55,0
FMP00064,"Flathead River, Lower, @ Polson",1984-05-20,4.87,7.11,0
FMP00072,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-06-25,4.34,13.06,0
FMP00073,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-06-25,5.71,5.35,0
FMP00074,"Flathead River, Lower, @ Polson",1984-06-25,4.50,6.01,0
FMP00079,"Flathead River, Lower, @ Polson",1984-07-25,5.16,5.32,0
FMP00080,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-07-25,5.86,5.92,0
FMP00081,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-07-25,4.77,7.32,0
FMP00089,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-08-06,5.00,7.13,0
FMP00090,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-08-06,6.34,3.91,0
FMP00095,"Flathead River, Lower, @ Polson",1984-08-06,5.36,4.10,0
FMP00099,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-09-04,4.28,4.42,0
FMP00100,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-09-04,6.07,5.69,0
FMP00101,"Flathead River, Lower, @ Polson",1984-09-05,4.87,4.63,0
FMP00110,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-10-03,4.51,3.99,0
FMP00111,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-10-03,6.37,4.53,0
FMP00112,"Flathead River, Lower, @ Polson",1984-10-04,4.91,4.35,0
FMP00120,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-11-12,5.27,8.94,0
FMP00121,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-11-12,6.95,5.82,0
FMP00122,"Flathead River, Lower, @ Polson",1984-11-12,5.05,4.84,0
FMP00131,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1984-12-09,5.08,7.32,0
FMP00132,Swan River @ Bigfork Steel Bridge (Electric Ave...,1984-12-09,6.88,5.04,0
FMP00133,"Flathead River, Lower, @ Polson",1984-12-09,5.24,4.50,0
FMP00142,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-01-06,4.62,5.50,0
FMP00143,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-01-06,7.30,3.01,0
FMP00144,"Flathead River, Lower, @ Polson",1985-01-06,5.56,2.60,0
FMP00154,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-02-10,3.33,7.63,0
FMP00155,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-02-10,5.94,5.33,0
FMP00156,"Flathead River, Lower, @ Polson",1985-02-10,4.39,5.54,0
FMP00165,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-03-04,4.45,8.77,0
FMP00166,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-03-04,7.26,4.07,0
FMP00167,"Flathead River, Lower, @ Polson",1985-03-04,5.01,5.55,0
BIO00204,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-04-01,NA,42.30,0
BIO00205,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-04-01,NA,22.08,0
BIO00215,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-04-01,NA,47.54,0
BIO00216,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-04-01,NA,26.21,0
FMP00185,"Flathead River, Lower, @ Polson",1985-04-01,4.91,6.83,0
FMP00192,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-04-01,4.80,13.16,0
FMP00193,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-04-01,7.29,5.71,0
FMP00196,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-04-24,6.25,20.83,0
FMP00197,"Flathead River, Lower, @ Polson",1985-04-24,4.84,7.83,0
FMP00198,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-04-24,7.24,9.67,0
FMP00207,"Flathead River, Lower, @ Polson",1985-05-12,5.32,6.89,0
FMP00208,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-05-12,7.50,7.31,0
FMP00209,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-05-12,6.01,19.56,0
BIO00225,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-05-27,NA,32.23,0
BIO00236,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-05-27,NA,31.03,0
FMP00225,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-05-27,6.22,10.36,0
BIO00227,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-05-28,NA,147.50,0
BIO00238,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-05-28,NA,122.63,0
FMP00229,"Flathead River, Lower, @ Polson",1985-05-28,4.46,6.35,0
FMP00231,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-05-28,4.29,52.80,0
FMP00235,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-06-11,5.73,33.62,0
FMP00236,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-06-11,5.78,11.59,0
FMP00237,"Flathead River, Lower, @ Polson",1985-06-11,5.69,10.32,0
FMP00252,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-06-30,4.52,7.41,0
FMP00253,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-06-30,5.44,6.38,0
FMP00254,"Flathead River, Lower, @ Polson",1985-06-30,4.14,5.56,0
FMP00263,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-07-29,4.81,6.42,0
FMP00264,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-07-29,7.23,9.97,0
FMP00265,"Flathead River, Lower, @ Polson",1985-07-29,4.21,7.18,0
FMP00274,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-08-26,4.37,6.05,0
FMP00275,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-08-26,6.56,17.90,0
FMP00276,"Flathead River, Lower, @ Polson",1985-08-26,4.41,4.08,0
BIO00239,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-09-09,NA,21.60,0
BIO00250,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-09-09,NA,18.92,0
BIO00259,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-09-09,NA,16.99,0
BIO00262,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-09-09,NA,16.32,0
FMP00285,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-09-09,3.65,5.35,0
FMP00286,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-09-09,5.44,4.83,0
FMP00287,"Flathead River, Lower, @ Polson",1985-09-09,4.37,4.52,0
FMP00301,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-10-06,2.83,4.89,0
FMP00302,"Flathead River, Lower, @ Polson",1985-10-06,3.75,4.23,0
FMP00303,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-10-06,2.46,8.81,0
FMP00315,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-11-11,5.05,5.76,0
FMP00316,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-11-11,6.39,4.64,0
FMP00322,"Flathead River, Lower, @ Polson",1985-11-11,4.07,3.73,0
FMP00327,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1985-12-09,5.18,12.05,0
FMP00328,Swan River @ Bigfork Steel Bridge (Electric Ave...,1985-12-09,6.72,4.89,0
FMP00329,"Flathead River, Lower, @ Polson",1985-12-09,4.89,4.68,0
FMP00338,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1986-01-06,4.37,5.71,0
FMP00339,Swan River @ Bigfork Steel Bridge (Electric Ave...,1986-01-06,6.91,4.46,0
FMP00340,"Flathead River, Lower, @ Polson",1986-01-06,4.92,3.62,0
FMP00351,"Flathead River, Mainstem, @ Holt (Sportsman Bri...",1986-02-03,5.34,13.77,0
